keys,Context,values
scripcode,OneD,500696
symbol,OneD,HINDUNILVR
isin,OneD,INE030A01027
nameofthecompany,OneD,HINDUSTAN UNILEVER LIMITED
classofsecurity,OneD,Equity
dateofstartoffinancialyear,OneD,2019-04-01
dateofendoffinancialyear,OneD,2020-03-31
dateofboardmeetingwhenfinancialresultswereapproved,OneD,2020-04-30
dateonwhichpriorintimationofthemeetingforconsideringfinancialresultswasinformedtotheexcha,OneD,2020-04-22
descriptionofpresentationcurrency,OneD,INR
levelofroundingusedinfinancialstatements,OneD,Crores
reportingquarter,OneD,Yearly
iscompanyreportingmultisegmentorsinglesegment,OneD,Multi segment
dateofstartofboardmeeting,OneD,2020-04-30
starttimeofboardmeeting,OneD,14:00:00
dateofendofboardmeeting,OneD,2020-04-30
endtimeofboardmeeting,OneD,16:18:00
declarationofunmodifiedopinionorstatementonimpactofauditqualification,OneD,Declaration of unmodified opinion
dateofstartofreportingperiod,OneD,2020-01-01
dateofendofreportingperiod,OneD,2020-03-31
whetherresultsareauditedorunaudited,OneD,Audited
natureofreportstandaloneconsolidated,OneD,Standalone
revenuefromoperations,OneD,90110000000
otherincome,OneD,2660000000
income,OneD,92770000000
costofmaterialsconsumed,OneD,23890000000
purchasesofstockintrade,OneD,20010000000
changesininventoriesoffinishedgoodsworkinprogressandstockintrade,OneD,-2200000000
employeebenefitexpense,OneD,3550000000
financecosts,OneD,260000000
depreciationdepletionandamortisationexpense,OneD,2550000000
otherexpenses,OneD,24210000000
expenses,OneD,72270000000
profitbeforeexceptionalitemsandtax,OneD,20500000000
exceptionalitemsbeforetax,OneD,-580000000
profitbeforetax,OneD,19920000000
currenttax,OneD,4030000000
deferredtax,OneD,700000000
taxexpense,OneD,4730000000
netmovementinregulatorydeferralaccountbalancesrelatedtoprofitorlossandtherelateddeferredt,OneD,0
profitlossforperiodfromcontinuingoperations,OneD,15190000000
profitlossfromdiscontinuedoperationsbeforetax,OneD,0
taxexpenseofdiscontinuedoperations,OneD,0
profitlossfromdiscontinuedoperationsaftertax,OneD,0
shareofprofitlossofassociatesandjointventuresaccountedforusingequitymethod,OneD,0
profitlossforperiod,OneD,15190000000
othercomprehensiveincomenetoftaxes,OneD,-910000000
comprehensiveincomefortheperiod,OneD,14280000000
comprehensiveincomefortheperiodattributabletoownersofparent,OneD,14280000000
comprehensiveincomefortheperiodattributabletoownersofparentnoncontrollinginterests,OneD,0
paidupvalueofequitysharecapital,OneD,2160000000
facevalueofequitysharecapital,OneD,1
reserveexcludingrevaluationreserves,OneD,78150000000
basicearningslosspersharefromcontinuingoperations,OneD,7.02
dilutedearningslosspersharefromcontinuingoperations,OneD,7.02
basicearningslosspersharefromdiscontinuedoperations,OneD,0
dilutedearningslosspersharefromdiscontinuedoperations,OneD,0
basicearningslosspersharefromcontinuinganddiscontinuedoperations,OneD,7.02
dilutedearningslosspersharefromcontinuinganddiscontinuedoperations,OneD,7.02
dateofstartofreportingperiod,FourD,2019-04-01
dateofendofreportingperiod,FourD,2020-03-31
whetherresultsareauditedorunaudited,FourD,Audited
natureofreportstandaloneconsolidated,FourD,Standalone
revenuefromoperations,FourD,387850000000
otherincome,FourD,7330000000
income,FourD,395180000000
costofmaterialsconsumed,FourD,115720000000
purchasesofstockintrade,FourD,63420000000
changesininventoriesoffinishedgoodsworkinprogressandstockintrade,FourD,-1210000000
employeebenefitexpense,FourD,16910000000
financecosts,FourD,1060000000
depreciationdepletionandamortisationexpense,FourD,9380000000
otherexpenses,FourD,97010000000
expenses,FourD,302290000000
profitbeforeexceptionalitemsandtax,FourD,92890000000
exceptionalitemsbeforetax,FourD,-1970000000
profitbeforetax,FourD,90920000000
currenttax,FourD,22020000000
deferredtax,FourD,1520000000
taxexpense,FourD,23540000000
netmovementinregulatorydeferralaccountbalancesrelatedtoprofitorlossandtherelateddeferredt,FourD,0
profitlossforperiodfromcontinuingoperations,FourD,67380000000
profitlossfromdiscontinuedoperationsbeforetax,FourD,0
taxexpenseofdiscontinuedoperations,FourD,0
profitlossfromdiscontinuedoperationsaftertax,FourD,0
shareofprofitlossofassociatesandjointventuresaccountedforusingequitymethod,FourD,0
profitlossforperiod,FourD,67380000000
othercomprehensiveincomenetoftaxes,FourD,-890000000
comprehensiveincomefortheperiod,FourD,66490000000
comprehensiveincomefortheperiodattributabletoownersofparent,FourD,66490000000
comprehensiveincomefortheperiodattributabletoownersofparentnoncontrollinginterests,FourD,0
paidupvalueofequitysharecapital,FourD,2160000000
facevalueofequitysharecapital,FourD,1
reserveexcludingrevaluationreserves,FourD,78150000000
basicearningslosspersharefromcontinuingoperations,FourD,31.13
dilutedearningslosspersharefromcontinuingoperations,FourD,31.12
basicearningslosspersharefromdiscontinuedoperations,FourD,0
dilutedearningslosspersharefromdiscontinuedoperations,FourD,0
basicearningslosspersharefromcontinuinganddiscontinuedoperations,FourD,31.13
dilutedearningslosspersharefromcontinuinganddiscontinuedoperations,FourD,31.12
descriptionofotherexpenses,OneExpenses1D,Advertising and promotion
otherexpenses,OneExpenses1D,11640000000
descriptionofotherexpenses,OneExpenses2D,Others
otherexpenses,OneExpenses2D,12570000000
descriptionofotherexpenses,FourExpenses1D,Advertising and promotion
otherexpenses,FourExpenses1D,46860000000
descriptionofotherexpenses,FourExpenses2D,Others
otherexpenses,FourExpenses2D,50150000000
propertyplantandequipment,OneI,46250000000
capitalworkinprogress,OneI,5130000000
investmentproperty,OneI,0
goodwill,OneI,360000000
otherintangibleassets,OneI,3950000000
intangibleassetsunderdevelopment,OneI,0
biologicalassetsotherthanbearerplants,OneI,0
investmentsaccountedforusingequitymethod,OneI,0
noncurrentinvestments,OneI,2520000000
tradereceivablesnoncurrent,OneI,0
loansnoncurrent,OneI,4530000000
othernoncurrentfinancialassets,OneI,30000000
noncurrentfinancialassets,OneI,7080000000
deferredtaxassetsnet,OneI,2610000000
othernoncurrentassets,OneI,11560000000
noncurrentassets,OneI,76940000000
inventories,OneI,26360000000
currentinvestments,OneI,12480000000
