keys,Context,values
scripcode,OneD,532755
symbol,OneD,TECHM
mseisymbol,OneD,NOTLISTED
isin,OneD,INE669C01036
nameofthecompany,OneD,TECH MAHINDRA LIMITED
classofsecurity,OneD,Equity
dateofstartoffinancialyear,OneD,2019-04-01
dateofendoffinancialyear,OneD,2020-03-31
dateofboardmeetingwhenfinancialresultswereapproved,OneD,2020-04-30
dateonwhichpriorintimationofthemeetingforconsideringfinancialresultswasinformedtotheexcha,OneD,2020-04-22
descriptionofpresentationcurrency,OneD,INR
levelofroundingusedinfinancialstatements,OneD,Millions
reportingquarter,OneD,Yearly
iscompanyreportingmultisegmentorsinglesegment,OneD,Multi segment
dateofstartofboardmeeting,OneD,2020-04-30
starttimeofboardmeeting,OneD,12:15:00
dateofendofboardmeeting,OneD,2020-04-30
endtimeofboardmeeting,OneD,16:25:00
declarationofunmodifiedopinionorstatementonimpactofauditqualification,OneD,Declaration of unmodified opinion
dateofstartofreportingperiod,OneD,2020-01-01
dateofendofreportingperiod,OneD,2020-03-31
whetherresultsareauditedorunaudited,OneD,Audited
natureofreportstandaloneconsolidated,OneD,Standalone
revenuefromoperations,OneD,75719000000
otherincome,OneD,12577000000
income,OneD,88296000000
costofmaterialsconsumed,OneD,0
purchasesofstockintrade,OneD,0
changesininventoriesoffinishedgoodsworkinprogressandstockintrade,OneD,0
employeebenefitexpense,OneD,23336000000
financecosts,OneD,269000000
depreciationdepletionandamortisationexpense,OneD,1720000000
otherexpenses,OneD,47796000000
expenses,OneD,73121000000
profitbeforeexceptionalitemsandtax,OneD,15175000000
exceptionalitemsbeforetax,OneD,0
profitbeforetax,OneD,15175000000
currenttax,OneD,1614000000
deferredtax,OneD,-357000000
taxexpense,OneD,1257000000
netmovementinregulatorydeferralaccountbalancesrelatedtoprofitorlossandtherelateddeferredt,OneD,0
profitlossforperiodfromcontinuingoperations,OneD,13918000000
profitlossfromdiscontinuedoperationsbeforetax,OneD,0
taxexpenseofdiscontinuedoperations,OneD,0
profitlossfromdiscontinuedoperationsaftertax,OneD,0
shareofprofitlossofassociatesandjointventuresaccountedforusingequitymethod,OneD,0
profitlossforperiod,OneD,13918000000
othercomprehensiveincomenetoftaxes,OneD,-1705792000
comprehensiveincomefortheperiod,OneD,12212208000
